,ED1_Date_of_collection_DT,TOTAL_FEMALE
0,2015-11-04,6
1,2015-11-05,10
2,2015-11-17,1
3,2015-11-18,7
4,2015-11-19,3
5,2015-11-20,4
6,2015-11-21,9
7,2015-11-22,22
8,2015-11-23,2
9,2015-11-24,1
10,2015-11-25,0
11,2015-11-26,4
12,2015-11-27,7
13,2015-11-28,12
14,2015-11-29,0
15,2015-11-30,19
16,2015-12-01,45
17,2015-12-02,56
18,2015-12-03,16
19,2015-12-04,22
20,2015-12-05,33
21,2015-12-07,5
22,2015-12-08,3
23,2015-12-09,15
24,2015-12-10,14
25,2015-12-11,34
26,2015-12-12,29
27,2015-12-13,22
28,2015-12-14,18
29,2015-12-15,9
30,2015-12-16,10
31,2015-12-17,8
32,2015-12-18,20
33,2015-12-19,21
34,2015-12-20,40
35,2015-12-21,39
36,2015-12-22,47
37,2015-12-23,61
38,2015-12-24,55
39,2015-12-25,42
40,2015-12-26,23
41,2015-12-27,31
42,2015-12-28,29
43,2015-12-29,68
44,2015-12-30,45
45,2015-12-31,59
46,2016-01-01,84
47,2016-01-02,75
48,2016-01-03,26
49,2016-01-04,63
50,2016-01-05,61
51,2016-01-06,75
52,2016-01-07,40
53,2016-01-08,25
54,2016-01-09,53
55,2016-01-10,60
56,2016-01-11,27
57,2016-01-12,4
58,2016-01-13,26
59,2016-01-14,16
60,2016-01-15,24
61,2016-01-16,24
62,2016-01-17,39
63,2016-01-18,77
64,2016-01-19,22
65,2016-01-20,32
66,2016-01-21,47
67,2016-01-22,37
68,2016-01-23,18
69,2016-01-24,13
70,2016-01-25,2
71,2016-01-26,13
72,2016-01-27,59
73,2016-01-28,28
74,2016-01-29,39
75,2016-01-30,41
76,2016-01-31,49
77,2016-02-01,35
78,2016-02-02,43
79,2016-02-03,29
80,2016-02-04,6
81,2016-02-05,67
82,2016-02-06,79
83,2016-02-07,122
84,2016-02-08,67
85,2016-02-09,100
86,2016-02-10,79
87,2016-02-11,105
88,2016-02-12,117
89,2016-02-13,167
90,2016-02-14,109
91,2016-02-15,171
92,2016-02-16,105
93,2016-02-17,82
94,2016-02-18,105
95,2016-02-19,94
96,2016-02-20,151
97,2016-02-21,175
98,2016-02-22,93
99,2016-02-23,43
100,2016-02-24,46
101,2016-02-25,30
102,2016-02-26,58
103,2016-02-27,66
104,2016-02-28,32
105,2016-03-01,35
106,2016-03-02,116
107,2016-03-03,113
108,2016-03-04,395
109,2016-03-05,98
110,2016-03-06,74
111,2016-03-07,124
112,2016-03-08,97
113,2016-03-09,141
114,2016-03-10,67
115,2016-03-11,231
116,2016-03-12,203
117,2016-03-13,203
118,2016-03-14,63
119,2016-03-15,116
120,2016-03-16,49
121,2016-03-17,71
122,2016-03-18,36
123,2016-03-19,35
124,2016-03-20,17
125,2016-03-21,81
126,2016-03-22,122
127,2016-03-23,47
128,2016-03-24,30
129,2016-03-25,88
130,2016-03-26,78
131,2016-03-27,56
132,2016-03-28,25
133,2016-03-29,29
134,2016-03-30,20
135,2016-04-01,5
136,2016-04-02,48
137,2016-04-03,46
138,2016-04-04,32
139,2016-04-05,14
140,2016-04-06,13
141,2016-04-07,12
142,2016-04-08,58
143,2016-04-09,97
144,2016-04-10,23
145,2016-04-11,191
146,2016-04-12,264
147,2016-04-13,201
148,2016-04-14,70
149,2016-04-15,150
150,2016-04-16,69
151,2016-04-17,59
152,2016-04-18,59
153,2016-04-19,266
154,2016-04-20,183
155,2016-04-21,188
156,2016-04-22,369
157,2016-04-23,251
158,2016-04-24,139
159,2016-04-25,186
160,2016-04-26,239
161,2016-04-27,92
162,2016-04-28,325
163,2016-04-29,127
164,2016-04-30,97
165,2016-05-01,145
166,2016-05-02,610
167,2016-05-03,575
168,2016-05-04,600
169,2016-05-05,517
170,2016-05-06,426
171,2016-05-07,303
172,2016-05-08,136
173,2016-05-09,262
174,2016-05-10,241
175,2016-05-11,273
176,2016-05-12,222
177,2016-05-13,321
178,2016-05-14,392
179,2016-05-15,249
180,2016-05-16,243
181,2016-05-17,272
182,2016-05-18,265
183,2016-05-19,331
184,2016-05-20,69
185,2016-05-21,214
186,2016-05-22,344
187,2016-05-23,307
188,2016-05-24,206
189,2016-05-25,127
190,2016-05-26,66
191,2016-05-27,34
192,2016-05-28,77
193,2016-05-29,93
194,2016-05-30,55
195,2016-06-01,93
196,2016-06-02,75
197,2016-06-03,76
198,2016-06-04,132
199,2016-06-05,78
200,2016-06-06,137
201,2016-06-07,121
202,2016-06-08,19
203,2016-06-09,142
204,2016-06-10,17
205,2016-06-11,167
206,2016-06-12,44
207,2016-06-13,150
208,2016-06-14,63
209,2016-06-15,55
210,2016-06-16,50
211,2016-06-17,67
212,2016-06-18,76
213,2016-06-19,38
214,2016-06-20,1
215,2016-06-21,17
216,2016-06-22,48
217,2016-06-23,17
218,2016-06-24,10
219,2016-06-25,8
220,2016-06-26,17
221,2016-06-27,13
222,2016-06-28,10
223,2016-06-29,2
224,2016-06-30,0
225,2016-07-01,19
226,2016-07-02,17
227,2016-07-03,17
228,2016-07-04,3
229,2016-07-05,5
230,2016-07-06,3
231,2016-07-07,7
232,2016-07-08,4
233,2016-07-09,1
234,2016-07-11,4
235,2016-07-12,4
236,2016-07-13,2
237,2016-07-14,6
238,2016-07-15,5
239,2016-07-16,3
240,2016-07-17,10
241,2016-07-18,2
242,2016-07-19,2
243,2016-07-21,3
244,2016-07-22,4
245,2016-07-23,2
246,2016-07-24,4
247,2016-07-25,8
248,2016-07-26,9
249,2016-07-27,2
250,2016-07-28,3
251,2016-07-29,1
252,2016-08-01,27
253,2016-08-02,3
254,2016-08-03,4
255,2016-08-04,16
256,2016-08-05,2
257,2016-08-06,4
258,2016-08-07,6
259,2016-08-08,3
260,2016-08-09,3
261,2016-08-11,2
262,2016-08-12,5
263,2016-08-13,0
264,2016-08-14,11
265,2016-08-15,10
266,2016-08-16,5
267,2016-08-17,1
268,2016-08-18,2
269,2016-08-19,6
270,2016-08-21,4
271,2016-08-22,2
272,2016-08-23,9
273,2016-08-24,3
274,2016-08-25,3
275,2016-08-26,8
276,2016-08-27,4
277,2016-08-28,5
278,2016-08-29,12
279,2016-09-01,2
